starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:56 2012	1353368756	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:56 2012	1353368756	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:56 2012	1353368756	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:56 2012	1353368756	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:56 2012	1353368756	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:57 2012	1353368757	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:59 2012	1353368759	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	7	7	7
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	7
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	7
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	7
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	7
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	7
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	7
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	7
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:56 2012	1353368756	0	8	8	7
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	7
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:56 2012	1353368756	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:56 2012	1353368756	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:56 2012	1353368756	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:56 2012	1353368756	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:56 2012	1353368756	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:56 2012	1353368756	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:56 2012	1353368756	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:56 2012	1353368756	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:56 2012	1353368756	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:56 2012	1353368756	1	7	8	7
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:56 2012	1353368756	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:57 2012	1353368757	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:59 2012	1353368759	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
Tue Nov 20 08:45:58 2012	1353368758	0	8	8	8
